alert_time,stock_code,stock_name,title,content_preview,url,source,published_at,impact_score,reasoning,current_price,change_rate,telegram_success,processing_time
2025-07-16 12:49:52,006800,미래에셋증권,시가배당률 줄줄이 급락…증권주 '주가 급등 딜레마',"시가배당률 5% 밑으로 떨어져 정책 기대로 단기 급등한 영향 ""배당주 매력 떨어져 투자 유의"" 증권주가 최근 급등하면서 고배당 매력이 바래고 있다. 신규 매수가 부담스러운 가격에 이르렀다는 평가도 나온다. 15일 한국거래소에 따르면 KRX 증권지수는 지난 1분기 말부터 이날까지 101.1% 급등했다. KRX 지수 중 상승세가 가장 가파르고 2위 유틸리티지수...",https://n.news.naver.com/article/015/0005158295,,2025-07-15 17:58:00,0.500,뉴스 알림,,,Yes,167.49s
2025-07-16 12:49:52,006800,미래에셋증권,IB 글로벌 도약 조건은 ‘자본·딜소싱·네트워크’…“지금이 골든타...,"이효섭 자본시장연구원 선임연구위원 “자본금 20조~30조원은 돼야 글로벌 IB와 경쟁 가능” “딜소싱은 인력·네트워크·분석력의 총합"" “규제완화·해외진출로 국내IB 역량 키워야” [이데일리 김경은 기자] 한국형 투자은행(IB)이 글로벌 무대에서 경쟁력을 갖추기 위해서는 무엇이 필요할까. 전문가들은 자본금 확대와 딜소싱 역량, 글로벌 네트워크, 규제완화가 핵...",https://n.news.naver.com/article/018/0006065701,,2025-07-15 07:06:00,0.500,뉴스 알림,,,Yes,115.32s
2025-07-16 12:49:52,006800,미래에셋증권,서로 투자의견 낮추더니... 신용·미수거래 빗장 건 증권사들,"메리츠·토스·신한證, 부국증권 미수·신용대출 제한 정책 수혜·호실적 기대감에 증권주 주가 치솟자 미결제 위험 커졌다 판단… 증거금률도 상향 하반기 주도주로 증권주가 떠오르는 가운데 증권사들이 ‘빚투’(빚내서 투자) 차단에 나섰다. 증권사들은 증권주 주가가 단기간 급등하자, 투기성 거래를 막기 위해 신용대출을 제한하거나 미수거래 보증금인 위탁증거금률을 잇달아...",https://n.news.naver.com/article/366/0001092611,,2025-07-15 11:29:00,0.500,뉴스 알림,,,Yes,142.74s
2025-07-16 12:49:52,006800,미래에셋증권,"미래에셋증권, 단기 부담에도 투자 매력…'매수' 의견-하나증권","하나증권이 미래에셋증권에 대해 투자의견으로 '매수'를 신규 제시했다. 목표주가는 2만6000원을 책정했다. 고연수 하나증권 연구원은 ""목표주가는 12개월 선행 BPS(주당순자산가치) 2만2150원에 목표 주가수익비율 1.0배를 적용해 산출했다""고 했다. 고 연구원은 ""단기적으로 밸류에이션 부담은 존재하나 여전히 투자 매력도 높다고 판단한다""라고 했다. 이어...",https://n.news.naver.com/article/008/0005221594,,2025-07-15 08:45:00,0.500,뉴스 알림,,,Yes,133.72s
2025-07-16 12:49:52,006800,미래에셋증권,IMA 시행령 입법예고…한투·미래證 신청 초읽기,종투사 지정·운용 규제 입법예고 IMA 성격·사업자 의무 등 명시 대차거래 중개 인력 요건도 강화 여의도 증권가. 연합뉴스 [서울경제] 금융 당국이 연내 종합투자계좌(IMA) 인가 사업자 출범을 목표로 종합금융투자사업자 지정 요건과 운용 규제를 담은 시행령·규정 개정안을 입법예고했다. 종투사의 적극적인 모험자본 공급을 촉진하면서 IMA와 발행어음 관련 리스...,https://n.news.naver.com/article/011/0004509444,,2025-07-15 17:58:00,0.500,뉴스 알림,,,Yes,165.36s
2025-07-16 12:49:52,006800,미래에셋증권,정부 정책에 급등하더니 &quot;오늘 다 파란불&quot;…OO주에 무슨일이,"삽화,망원경,전망,예측,전쟁,이스라엘,팔레스타인,하마스,주가,증시,하락,개미,일러스트 /사진=임종철 올해 상반기 질주하던 증권주가 16일 일제히 하락하고 있다. 증권가 일부는 증권주 추가 상승에 의구심을 제기하며 투자의견을 '중립'으로 하향했다. 한국거래소(KRX)에 따르면 이날 오전 11시23분 현재 미래에셋증권은 전날 대비 1100원(4.88%) 내린 ...",https://n.news.naver.com/article/008/0005222401,,2025-07-16 11:31:00,0.500,뉴스 알림,,,Yes,217.20s
2025-07-16 12:49:52,006800,미래에셋증권,6월 美 CPI 반등…코스피 숨고르기 이어지나,6월 소비자물가 2.7%…근원 CPI 2.9%↑ [서울=뉴시스] 김경택 지난달 미국의 소비자물가상승률이 큰 폭으로 반등하면서 코스피가 최근 급등에 따른 숨고르기에 돌입할 가능성이 제기된다. 관세 영향에 따라 물가가 비교적 큰 폭으로 뛰면서 연방공개시장위원회(FOMC)의 기준금리 인하에 대한 시장 기대치가 낮아졌기 때문이다. 16일 금융투자업계에 따르면 미국...,https://n.news.naver.com/article/003/0013364837,,2025-07-16 07:29:00,0.500,뉴스 알림,,,Yes,192.54s
2025-07-16 12:49:52,006800,미래에셋증권,"李 특급 칭찬받은 김병환, 유임설 ‘솔솔’…금감원장엔 홍성국 유력","이재명 대통령이 15일 서울 용산 대통령실 청사에서 열린 국무회의에서 국기에 경례를 하고 있다. [연합뉴스] 김병환 금융위원장의 유임설이 또다시 제기되고 있다. 이재명 대통령이 김 위원장에게 6·27 대출 규제 성과에 대한 칭찬의 메시지를 두 번이나 전했기 때문이다. 금융감독원장에는 홍성국 전 더불어민주당 국회의원, 손병두 전 한국거래소 이사장이 유력하게 ...",https://n.news.naver.com/article/029/0002968430,,2025-07-16 05:40:00,0.500,뉴스 알림,,,Yes,188.08s
2025-07-16 12:49:53,006800,미래에셋증권,"로봇부터 방산, 투자전략까지…펀드매니저가 먼저 주목한 신예 12인 [...","펀드매니저가 주목할 주니어 애널리스트로 추천한 톱10 애널리스트 12인. 왼쪽부터 박문현 KB증권, 이상준 NH투자증권, 한승연 NH투자증권, 김진석 미래에셋증권, 박수연 메리츠증권, 이의진 KB증권, 김지현 다올투자증권, 박종현 다올투자증권, 배성조 한화투자증권, 양승윤 유진투자증권, 이유진 유진투자증권 애널리스트. 사진 속 차량 번호(합성)는 '코스피 ...",https://n.news.naver.com/article/050/0000093635,,2025-07-15 07:17:00,0.500,뉴스 알림,,,Yes,122.48s
2025-07-16 12:49:53,006800,미래에셋증권,“비트코인 240만弗도 가능” vs “사기·애완용 장난감”…“부동산...,머니트렌드 투자 세미나 개최··· 부동산·주식 등 전문가 비법 공개 비트코인 240만 달러 vs 사기 논란··· 투자자 AI 반도체주 48.4% 선호 하나은행 퇴직연금 적립금··· 2조 4000억 원 증가 [서울경제] ▲ AI 프리즘* 맞춤형 경제 브리핑 * 편집자 주 : ‘AI PRISM’(Personalized Report & Insight Summar...,https://n.news.naver.com/article/011/0004509135,,2025-07-15 08:53:00,0.500,뉴스 알림,,,Yes,136.27s
2025-07-16 12:49:53,006800,미래에셋증권,"[특징주] 30만원 돌파 SK하이닉스, 차익실현 매물 출회…2%대 약세",역대 최고가 기록한지 하루 만에 내림세 경기 이천 SK하이닉스 본사. ⓒ연합뉴스 [데일리안 = 서진주 기자] SK하이닉스가 역대 최고가를 기록한지 하루 만에 약세로 돌아섰다. 15일 한국거래소에 따르면 이날 오전 9시 49분 현재 SK하이닉스는 전 거래일 대비 2.67%(8000원) 내린 29만2000원에 거래되고 있다. SK하이닉스는 전일(14일) 30만...,https://n.news.naver.com/article/119/0002979244,,2025-07-15 09:51:00,0.500,뉴스 알림,,,Yes,140.82s
2025-07-16 12:49:53,006800,미래에셋증권,"[어제장 오늘장] 비트코인, 12만 3천달러 선까지 기록…관련주 강세","■ 머니쇼 '어제장 오늘장' - 장연재 코스피가 또 연고점을 경신하며 3년 10개월 만에 종가 기준 3200선을 회복했습니다. 앞서 미국 시장이 숨고르기를 보였고, 아시아증시도 혼조였지만 한국 시장 비교적 강했는데요. 글로벌 IB들이 지수 상승 기대감을 키운 영향이 컸습니다. 글로벌 IB들이 코스피 목표치를 잇달아 상향 조정하고 있습니다. 맥쿼리, JP모건...",https://n.news.naver.com/article/374/0000451557,,2025-07-15 08:28:00,0.500,뉴스 알림,,,Yes,131.66s
2025-07-16 12:49:53,006800,미래에셋증권,'불장'에 함박웃음 지은 대형증권사…삼성증권 홀로 부진 전망,"5대 증권사, 2Q 영업익 작년보다 18% 증가 전망 '삼천피' 회복에 브로커리지·운용수익 대폭 개선 삼성증권, IB 딜 수주 부진에 홀로 역성장 전망 2분기 실적 시즌이 본격화되는 가운데 주요 증권사 수익성이 두 자릿수 성장률을 기록할 것으로 보인다. 국내외 주식시장 활황으로 거래대금이 크게 늘어난 데다 보유 주식 자산에서 대규모 평가이익이 발생한 덕분이...",https://n.news.naver.com/article/648/0000037878,,2025-07-15 07:30:00,0.500,뉴스 알림,,,Yes,124.87s
2025-07-16 12:49:53,006800,미래에셋증권,상법 개정·금리 인하…하반기 증시 변수 총정리[2025 상반기 베스트...,계량분석 유명간 미래에셋증권 정교한 계량 분석과 시장 소통에 강점을 지닌 미래에셋증권 유명간 애널리스트는 ‘실제 투자에 도움되는 리서치’를 지향해왔다. 대표 리포트 ‘선진화로 가는 길’은 이 전략을 정제된 분석으로 담아냈다. 그는 강한 상승을 보였던 상반기와 달리 하반기는 실적 하향 조정과 매크로 불확실성 속에서 종목·업종별 차별화 국면이 본격화될 것으로 ...,https://n.news.naver.com/article/050/0000093634,,2025-07-15 07:15:00,0.500,뉴스 알림,,,Yes,120.35s
2025-07-16 12:49:53,006800,미래에셋증권,"&quot;사천피 정점 아닌 시작&quot; 빚투 3년 만에 21조 넘었다…효성중공업, 올...",전력 인프라 수요 폭증으로 네 번째 황제주 탄생··· 글로벌 경쟁력 인정받는 모습 개인 빚투 21조 원 돌파로 3년 만에 최대··· 추세적 상승 확신에 레버리지 급증 투자자 59.5% ’주식 비중 확대”··· 골드만삭스 3500·맥쿼리 4000 목표가 제시 [서울경제] ▲ AI 프리즘* 맞춤형 경제 브리핑 * 편집자 주: ‘AI PRISM’(Personal...,https://n.news.naver.com/article/011/0004509117,,2025-07-15 08:13:00,0.500,뉴스 알림,,,Yes,129.49s
2025-07-16 12:49:53,006800,미래에셋증권,2만원에 산 주식이 3개월 만에…'팔지 말걸' 뒤늦은 탄식 [종목+],"""너도나도 중국 가더니""…대한항공, 홀로 날았다 대한항공 주가 한 달간 17% 상승 2분기 영업이익 증권가 전망치 상회 프리미엄 수요·中 노선 확대 영향 국제 유가·환율 하락에 비용 감소 증권가 ""하반기도 실적 개선"" 전망 사진=뉴스1 대한항공 주가가 바닥을 다지고 반등세를 탔다. 부진한 업황 속에서도 실적이 개선될 것이란 기대감이 반영되면서다. 증권가에선...",https://n.news.naver.com/article/015/0005158450,,2025-07-16 08:56:00,0.500,뉴스 알림,,,Yes,199.57s
2025-07-16 12:49:53,006800,미래에셋증권,"효성중공업, 올해 4번째 '황제주' 등극...주가 더 달릴까",뉴스1 제공 [파이낸셜뉴스] 효성중공업이 올 들어 네 번째로 코스피 시장 황제주(1주당 100만원 이상 주식) 반열에 올랐다. 고수익 제품군 중심의 실적 개선 기대감이 주가를 밀어올렸다. 증권가에서는 효성중공업 목표주가를 최대 122만원까지 올려잡는 모습이다. 15일 한국거래소에 따르면 효성중공업 주가는 전날 정규 거래에서 전 거래일 대비 3.07% 오른 ...,https://n.news.naver.com/article/014/0005376941,,2025-07-15 06:01:00,0.500,뉴스 알림,,,Yes,109.07s
2025-07-16 12:49:53,006800,미래에셋증권,"자사주 1억주 소각한다는 '미래에셋증권', 그래도 1억주 남는다","증권사 중 밸류업 가장 적극적인 미래에셋증권 2030년까지 매년 1500만주 이상, 총 1억주 소각 다만 1억1000만주 합병자사주 소각계획 없어 합병 자사주 처분시 유통물량→주주가치 희석 코스피지수가 역대 최고치를 향해가면서 실적과 주주환원 여력을 모두 갖춘 금융주, 그중에서도 증권주 주가 움직임이 두드러지고 있다. 올해 초 자기자본 12조원(연결재무제표...",https://n.news.naver.com/article/648/0000037916,,2025-07-16 07:30:00,0.500,뉴스 알림,,,Yes,195.13s
